,0
1293,panic_clin___2
1294,agoraphobia_clin___1
1295,separation_anxiety_clin___1
1296,social_anxiety_clin___1
1297,social_anxiety_clin___2
1298,social_anxiety_clin___3
1299,phobia_clin___1
1300,ocd_clin___1
1301,ptsd_clin___1
1302,alcohol_depend_clin___1
1303,alcohol_use_clin___1
1304,drug_depend_clin___1
1305,drug_use_clin___1
1306,tourette_clin___1
1307,motor_tics_clin___1
1308,vocal_tics_clin___1
1309,transient_tics_clin___1
1310,adhd_mix_clin___1
1311,adhd_attention_clin___1
1312,adhd_hyper_clin___1
1313,conduct_clin___1
1314,odd_clin___1
1315,psychotic_clin___1
1316,psychotic_clin___2
1317,affect_psychotic_clin___1
1318,affect_psychotic_clin___2
1319,anorexia_clin___1
1320,bulimia_clin___1
1321,anorexia_bulmus_clin___1
1322,gad_clin___1
1323,adjustment_clin___1
1324,organic_clin
1325,development_clin___1
1326,main_dianose_clin
1327,mini_kid_sum_clin_complete
1328,cssrs_fw_maya_timestamp
1329,c_ssrs_fu_thought_1_clin
1330,c_ssrs_fu_thought_2_clin
1331,c_ssrs_fu_thought_3_clin
1332,c_ssrs_fu_thought_4_clin
1333,c_ssrs_fu_thought_5_clin
1334,c_ssrs_fu_intensity_clin
1335,c_ssrs_fu_frequ_clin
1336,c_ssrs_fu_lengh_clin
1337,c_ssrs_fu_control_clin
1338,c_ssrs_fu_deter_clin
1339,c_ssrs_fu_reason_clin
1340,c_ssrs_fu_attemp_clin
1341,c_ssrs_fu_attemp_2_3_clin
1342,c_ssrs_fu_attemp_3_clin
1343,c_ssrs_fu_attemp_4_clin
1344,c_ssrs_fu_attemp_4_2_clin
1345,c_ssrs_fu_attemp_4_3_clin
1346,c_ssrs_fu_attemp_5_clin
1347,c_ssrs_fu_attemp_5_2_clin
1348,c_ssrs_fu_attemp_5_3_clin
1349,c_ssrs_fu_attemp_6_clin
1350,c_ssrs_fu_attemp_6_2_clin
1351,c_ssrs_fu_attemp_7_clin
1352,c_ssrs_fu_attemp_8_clin
1353,c_ssrs_fu_done_clin
1354,c_ssrs_fu_done_2_clin
1355,cssrs_fw_maya_complete
1356,cssrs_t_clin_timestamp
1357,c_ssrs_t_time_clin
1358,c_ssrs_t_2weeks_1_clin
1359,c_ssrs_t_2weeks_2_clin
1360,c_ssrs_t_2weeks_3_clin
1361,c_ssrs_t_2weeks_4_clin
1362,c_ssrs_t_2weeks_5_clin
1363,c_ssrs_t_last_1_clin
1364,c_ssrs_t_last_2_clin
1365,c_ssrs_t_last_3_clin
1366,c_ssrs_t_last_4_clin
1367,c_ssrs_t_last_5_clin
1368,c_ssrs_t_life_1_clin
1369,c_ssrs_t_life_2_clin
1370,c_ssrs_t_life_3_clin
1371,c_ssrs_t_life_4_clin
1372,c_ssrs_t_life_5_clin
1373,c_ssrs_t_6_clin
1374,c_ssrs_t_7_clin
1375,c_ssrs_t_8_clin
1376,c_ssrs_t_9_clin
1377,c_ssrs_t_10_clin
1378,c_ssrs_t_11_2weeks_clin
1379,c_ssrs_t_12_2weeks_clin
1380,c_ssrs_t_13_2weeks_clin
1381,c_ssrs_t_14_2weeks_clin
1382,c_ssrs_t_15_2weeks_clin
1383,c_ssrs_t_16_2weeks_clin
1384,suicidal_behavior_last_11_clin
1385,suicidal_behavior_last_12_clin
1386,suicidal_behavior_last_13_clin
1387,suicidal_behavior_last_14_clin
1388,suicidal_behavior_last_15_clin
1389,suicidal_behavior_last_16_clin
1390,c_ssrs_t_11_life_clin
1391,c_ssrs_t_12_life_clin
1392,c_ssrs_t_13_life_clin
1393,c_ssrs_t_14_life_clin
1394,c_ssrs_t_15_life_clin
1395,c_ssrs_t_16_life_clin
1396,cssrs_t_clin_complete
1397,opening_students_timestamp
1398,who_stu
1399,who_other_stu
1400,name_stu
1401,opening_students_complete
1402,trqsfmaris_stu_timestamp
1403,trq_sf_maris_1_stu
1404,trq_sf_maris_2_stu
1405,trq_sf_maris_3_stu
1406,trq_sf_maris_4_stu
1407,trq_sf_maris_5_stu
1408,trq_sf_maris_6_stu
1409,trq_sf_maris_7_stu
1410,trq_sf_maris_8_stu
1411,trq_sf_maris_9_stu
1412,trq_sf_maris_10_stu
1413,trq_sf_maris_11_stu
1414,trq_sf_maris_12_stu
1415,trq_sf_maris_13_stu
1416,trq_sf_maris_14_stu
1417,trqsfmaris_stu_complete
1418,cgi_s_stu_timestamp
1419,cgi_s_base_stu
1420,cgi_s_stu_complete
1421,remote_stu_timestamp
1422,remote_1_stu
1423,remote_stu_complete
1424,cps_stu_timestamp
1425,cps_1_stu
1426,cps_2_stu
1427,cps_stu_complete
1428,sci_c_stu_timestamp
1429,sci_c_1_1_stu
1430,scs_2_1_stu
1431,scs_2_2_stu
1432,scs_2_3_stu
1433,scs_2_4_stu
1434,sci_c_3_1_stu
1435,sci_c_3_2_stu
1436,sci_c_3_3_stu
1437,sci_c_3_4_stu
1438,sci_c_4_1_stu
1439,sci_c_4_2_stu
1440,sci_c_4_3_stu
1441,sci_c_4_4_stu
1442,sci_c_5_1_stu
1443,sci_c_5_2_stu
1444,sci_c_stu_complete
1445,mini_kid_sum_stu_timestamp
1446,mini_class_stu
1447,mini_date_stu
1448,mini_interviewer_stu
1449,mini_date_interview_stu
1450,mini_medication_stu___1
1451,mini_medication_stu___2
1452,mini_medication_stu___3
1453,mini_medication_stu___4
1454,mini_medication_stu___5
1455,mini_medicine_other_stu
1456,mini_start_time_stu
1457,mini_end_time_stu
1458,mini_total_time_stu
1459,depres_stu___1
1460,depres_stu___2
1461,depres_stu___3
1462,suicide_stu___1
1463,suicide_stu___2
1464,suicide_risk_stu
1465,dysthemia_stu___1
1466,manic_stu___1
1467,manic_stu___2
1468,hypomania_stu___1
1469,hypomania_stu___2
1470,bipolar_i_stu___1
1471,bipolar_i_stu___2
1472,bipolar_ii_stu___1
1473,bipolar_ii_stu___2
1474,bipolar_unclassified_stu___1
1475,bipolar_unclassified_stu___2
1476,panic_stu___1
1477,panic_stu___2
1478,agoraphobia_stu___1
1479,separation_anxiety_stu___1
1480,social_anxiety_stu___1
1481,social_anxiety_stu___2
1482,social_anxiety_stu___3
1483,phobia_stu___1
1484,ocd_stu___1
1485,ptsd_stu___1
1486,alcohol_depend_stu___1
1487,alcohol_use_stu___1
1488,drug_depend_stu___1
1489,drug_use_stu___1
1490,tourette_stu___1
1491,motor_tics_stu___1
1492,vocal_tics_stu___1
1493,transient_tics_stu___1
1494,adhd_mix_stu___1
1495,adhd_attention_stu___1
1496,adhd_hyper_stu___1
1497,conduct_stu___1
1498,odd_stu___1
1499,psychotic_stu___1
1500,psychotic_stu___2
1501,affect_psychotic_stu___1
1502,affect_psychotic_stu___2
1503,anorexia_stu___1
1504,bulimia_stu___1
1505,anorexia_bulmus_stu___1
1506,gad_stu___1
1507,adjustment_stu___1
1508,organic_stu
1509,development_stu___1
1510,main_dianose_stu
1511,mini_kid_sum_stu_complete
1512,cssrs_t_stu_timestamp
1513,c_ssrs_t_time_stu
1514,c_ssrs_t_2weeks_1_stu
1515,c_ssrs_t_2weeks_2_stu
1516,c_ssrs_t_2weeks_3_stu
1517,c_ssrs_t_2weeks_4_stu
1518,c_ssrs_t_2weeks_5_stu
1519,c_ssrs_t_last_1_stu
1520,c_ssrs_t_last_2_stu
1521,c_ssrs_t_last_3_stu
1522,c_ssrs_t_last_4_stu
1523,c_ssrs_t_last_5_stu
1524,c_ssrs_t_life_1_stu
1525,c_ssrs_t_life_2_stu
1526,c_ssrs_t_life_3_stu
1527,c_ssrs_t_life_4_stu
1528,c_ssrs_t_life_5_stu
1529,c_ssrs_t_6_stu
1530,c_ssrs_t_7_stu
1531,c_ssrs_t_8_stu
1532,c_ssrs_t_9_stu
1533,c_ssrs_t_10_stu
1534,c_ssrs_t_11_2weeks_stu
1535,c_ssrs_t_12_2weeks_stu
1536,c_ssrs_t_13_2weeks_stu
1537,c_ssrs_t_14_2weeks_stu
1538,c_ssrs_t_15_2weeks_stu
1539,c_ssrs_t_16_2weeks_stu
1540,suicidal_behavior_last_11_stu
1541,suicidal_behavior_last_12_stu
1542,suicidal_behavior_last_13_stu
1543,suicidal_behavior_last_14_stu
1544,suicidal_behavior_last_15_stu
1545,suicidal_behavior_last_16_stu
1546,c_ssrs_t_11_life_stu
1547,c_ssrs_t_12_life_stu
1548,c_ssrs_t_13_life_stu
1549,c_ssrs_t_14_life_stu
1550,c_ssrs_t_15_life_stu
1551,c_ssrs_t_16_life_stu
1552,cssrs_t_stu_complete
1553,chameleon_timestamp
1554,chameleon_follow_stu
1555,treatment_end_stu
1556,treatment_end_2_stu
1557,visit_date_stu
1558,chameleon_ideation_stu
1559,chameleon_behavior_stu
1560,chameleon_attempt_stu
1561,chameleon_nssi_stu
1562,chameleon_suicide_er_stu
1563,chameleon_suicide_er_date_stu
1564,chameleon_suicide_er_date_2_stu
1565,chameleon_suicide_er_date_3_stu
1566,chameleon_psychiatric_stu
1567,chameleon_psychiatric_date_stu
1568,chameleon_psychiatric_date_2_stu
1569,chameleon_psychiatric_date_3_stu
1570,emergency_stu
1571,chameleon_psychotherapy_stu
1572,chameleon_psychotherapy_2_stu___1
1573,chameleon_psychotherapy_2_stu___2
1574,chameleon_psychotherapy_2_stu___3
1575,chameleon_psychotherapy_2_stu___4
1576,chameleon_psychotherapy_2_stu___5
1577,chameleon_psychotherapy_2_stu___6
1578,chameleon_psychotherapy_2_stu___7
1579,chameleon_psychotherapy_other_stu
1580,chameleon_medicine_stu
1581,chameleon_medicine_2_stu___1
1582,chameleon_medicine_2_stu___2
1583,chameleon_medicine_2_stu___3
1584,chameleon_medicine_2_stu___4
1585,chameleon_medicine_2_stu___5
1586,chameleon_medicine_other_stu
1587,chameleon_notes_stu
1588,chameleon_complete_stu
1589,num
1590,time
1591,a
1592,time99
1593,time99_cin
1594,N99
1595,SCARED_SUM
